emotion,utterance,art_style,painting,repetition,artist,year
sadness,"The busy streets with likewise clothing reminds the viewer of a poor society where they aren’t able to afford better goods, which brings sadness to the onlooker.",Impressionism,the poultry market,7,camille pissarro,1885
fear,The woman looks like she is rubbing her face with blood like she is a psychopath.,Pop_Art,pour les levres,4,allen jones,1965
disgust,The woman sitting outside this mud-hut surrounded by filthy livestock makes me feel disgusted for her.,Baroque,the hut detail,1,adriaen van de velde,1671
sadness,this woman is clearly feeling a man to see if he qualifies,Rococo,rebecca at the well,5,giovanni domenico tiepolo,1751
amusement,A multicultural community of different race and class together having a good time.,Post_Impressionism,booth of la goulue at the foire du trone the moorish dance,4,henri de toulouse lautrec,1895
fear,This looks like a bunch of swords that people use to cut someone,Minimalism,peinture 244 x 181 cm 25 avril 2011,3,pierre soulages,2011
contentment,Her mouth is in a little smirk and her eyebrows are raised,Post_Impressionism,portrait of fernande olivier in headscarves,2,pablo picasso,1906
awe,The child gazed at the mother with awe and wonder,High_Renaissance,bridgewater madonna,1,raphael,1511
fear,The reddish colors give a sense of foreboding and danger,Abstract_Expressionism,number 2,16,esteban vicente,1967
sadness,The reflection over the woman's face looks like tears.,Symbolism,woman with veil,2,odilon redon,1895
sadness,Two friends are sharing a dark secret away from prying eyes and ears.,Impressionism,in the hertza forest,17,arthur verona,1897
contentment,The little seems so innocent and gentle with her fair skin and cute little dress.,Realism,portrait of a a venetsianova,7,alexey venetsianov,1826
fear,This artwork seems to depict a tornado. The dark clouds and running horses give a sense of panic.,Naive_Art_Primitivism,the thunderstorm,5,grandma moses,1948
sadness,The man holds the womans arm to stop her from shotuing at someone,Realism,the artist s parents,3,felix vallotton,1886
sadness,the geese flying is like the end of a season. the sun is setting on a good time.,Post_Impressionism,round lake mud bay,1,tom thomson,1915
contentment,The boy looks like he is happy and is in a good mood.,Realism,the sailor boy gardener cassatt,21,mary cassatt,1892
sadness,"This musician sits alone, on a rock, with very sad eyes, which looks uncomfortable and solemn",Impressionism,the cobza player from balchik,3,francisc sirato,1926
anger,The lack of color scheme planning along with repercussion pattern effect evoke anger due to the waste of pictorial space.,Minimalism,jill,11,frank stella,1959
sadness,the yellowish tint and dullness of the painting gives off a feeling of sadness,Post_Impressionism,landscape at pont aven,8,paul gauguin,1886
contentment,"Contentment because of the warm colors, the movement of the clouds, the greenery and the sunshine.",Impressionism,les mathurins pontoise,9,camille pissarro,1877
awe,The sky in the painting is very beautiful and I love the clouds.,Impressionism,the marina at argenteuil,8,claude monet,1872
sadness,"The dark blues are rather harsh, with the fog and icy mountains making things oppressive.",Symbolism,himalayas evening,4,nicholas roerich,1940
awe,I think the castle is pretty big and it looks so majestic,Post_Impressionism,view of notre dame,20,gustave loiseau,1911
sadness,these dull and gloomy looking cups and vases look putrid and give a sense of dismay,Analytical_Cubism,jug and fruit dish,2,pablo picasso,1908
sadness,A man is standing lonely and worrying about his problems so he is looking sad.,Impressionism,the cabbage field pontoise,23,camille pissarro,1873
fear,"All the different colors, the black and red figures send a feeling of fear in each one of them.",Naive_Art_Primitivism,music,3,marc chagall,1963
fear,I have an overall feeling of fear that the farmer buried his wife in the field.  Because she died from terrible accident.,Impressionism,landscape at eragny clear weather,10,camille pissarro,1890
sadness,The lady looks like she is about to burst into tears.,Realism,head of an old peasant woman with white cap,13,vincent van gogh,1884
fear,Skulls are indicators of death and give me an eerie feeling.,Impressionism,skull,15,gregoire boonzaier,1970
awe,the man is obviously enjoying the view of this woman,Expressionism,pair,7,arturo souto,1951
sadness,this lady in silk dress and in front of an autumn tree looks sorrowful,Romanticism,lady elizabeth howard,4,john hoppner,1798
fear,The evening night brings about great fear,Realism,before the rain,27,fyodor vasilyev,1871
anger,The man is angry and gives a serious look with his eyebrows arched upwards like a bow.,Realism,portrait of the composer alexander glazunov,2,ilya repin,1887
sadness,it is giving me a feeling of emtyness,Rococo,the declaration of love,8,giovanni domenico tiepolo,1757
disgust,There is too much going on in this drawing that makes no sense,Cubism,landscape with bridge and viaduct,14,albert gleizes,1910
sadness,"It's the end of the day, though the structures are similar the town feels likes it's abandoned. There are no lights, there is no sign of life, the window can be viewed as broken.",Realism,huts after sunset,30,isaac levitan,1899
sadness,The gray cloud looks like an eagle but also like rain.,Naive_Art_Primitivism,goats grazing in a landscape,15,grã©goire michonze,1961
sadness,The woman seems to have issues judging by her quivering mouth,Realism,portrait of e g mamontova reading,24,ilya repin,1879
sadness,The lady looks lonely and bored like she missed out on something.,Expressionism,sitting woman,6,egon schiele,1918
anger,It looks like the man is arguing with the lady with the cane.,Realism,peer gynt blacksmith and aase smeden og aase,14,theodor severin kittelsen,1890
sadness,"The woman is too fat to be naked, and she is too gross to show her tits.",Mannerism_Late_Renaissance,danae,20,titian,1554
contentment,Trees are always nice to look at,Post_Impressionism,transylvanian landscape,6,istvan nagy,1925
sadness,"Both girls have dark circles under their eyes as if they are sick or have been crying alot, reminds me of the death portraits of the Victorian era.",Pointillism,portrait of helene and michette guinotte,3,theo van rysselberghe,1901
sadness,The woman sitting down looks like she is ready to die.,Romanticism,penelope,7,john roddam spencer stanhope,1849
sadness,There is no sunlight and the landscape looks dull and sad.,Fauvism,thick forest,2,endre bartos,1973
fear,the creepiness of the night landscape makes me feel scared something might happen in the shadows,Art_Nouveau_Modern,night,6,anna ostroumova lebedeva,1923
